Date,TS1-S_370,TS2-S_376,TS3-S_21885,TS4-S_434,TS5-S_445,TS6-S_21895
5/30/2014,512.93555,1896.2699,1724.064,2492.0872,1727.7256,1465.1853
6/14/2014,508.5572,1784.4088,1785.9966,2355.1736,1740.7477,1386.9315
6/29/2014,496.67914,1606.2438,1776.6372,2228.014,1719.8522,1316.6831
7/14/2014,482.7348,1377.246,1727.672,2143.1067,1688.9238,1204.3964
7/30/2014,468.58636,1143.9882,1706.5736,2002.593,1610.256,1024.8442
8/14/2014,455.05844,922.9328,1688.2533,1895.1453,1517.7594,977.3442
8/30/2014,460.71774,923.52673,1781.2904,1776.7323,1385.4651,1139.8093
9/14/2014,481.62604,1152.6675,1860.4521,1658.5823,1270.5774,1276.851
9/29/2014,505.58945,1524.3634,1969.7577,1545.1183,1184.2924,1594.0549
10/14/2014,533.42395,1846.2689,2098.806,1437.5455,1139.2065,1953.3643
10/30/2014,547.6722,2049.7732,2113.778,1339.7783,848.57904,2124.2166
11/14/2014,542.71313,2081.7185,2084.5276,1286.0564,814.65576,2235.3801
11/29/2014,535.2764,2083.3337,2053.2185,1316.1283,776.2612,2128.5813
12/14/2014,521.766,2071.3567,2024.5104,1631.0966,790.63776,2052.2432
12/30/2014,517.5494,1964.9935,1942.8103,1936.9219,836.90765,1979.9606
1/14/2015,504.7281,1859.8208,1837.2383,2029.9971,950.64343,1921.8324
1/30/2015,519.1389,1897.7637,1712.4296,2053.2488,1078.0374,1764.4899
2/14/2015,529.22864,1961.119,1620.87,1970.3003,1118.4132,1528.6477
2/27/2015,538.4391,2038.7217,1515.1857,1940.0593,1136.9167,1412.6882
3/14/2015,567.0559,2138.6963,1386.7485,1877.8573,1138.7941,1301.8613
3/30/2015,584.1975,2158.4001,1227.8955,1829.6493,1082.673,1125.9915
4/14/2015,612.842,2144.1702,1158.0444,1903.1414,1138.3738,1046.1715
4/29/2015,646.85486,2131.8992,1154.7456,2093.7014,1554.8082,1084.7158
5/14/2015,658.57776,2219.455,1335.9384,2405.3708,1844.5625,1219.2056
5/30/2015,668.3776,2147.4326,1646.9224,2610.1365,1954.406,1406.2094
6/14/2015,662.4963,1937.5698,1851.0454,2644.3455,1949.2744,1501.2267
6/29/2015,645.3401,1758.3456,2000.5603,2560.608,1968.7034,1531.5134
7/14/2015,617.2585,1540.2742,2102.605,2444.5068,1950.563,1641.94
7/30/2015,588.2473,1433.5021,2076.7373,2298.5183,1894.1785,1626.78
8/14/2015,576.4788,1511.4758,2117.5383,2153.5203,1796.0961,1721.304
8/30/2015,576.744,1759.2822,2207.0747,2012.4166,1681.8381,2091.3755
9/14/2015,586.0577,2039.4396,2232.3193,1887.7053,1544.6489,2312.554
9/29/2015,585.13416,2201.706,2243.3774,1796.8489,1390.4757,2620.873
10/14/2015,591.7093,2281.8674,2258.1233,1727.2384,1236.9103,2865.2065
10/30/2015,587.30396,2250.646,2209.2007,1693.7749,815.4891,2801.8948
11/14/2015,599.55414,2194.697,2188.8474,1654.2434,671.2436,2591.4438
11/29/2015,610.137,2147.1956,2198.3933,1754.3583,626.54315,2516.7415
12/14/2015,608.40594,2164.66,2223.2632,1921.8671,780.02106,2353.5632
12/30/2015,615.6892,2103.4932,2227.328,2186.757,1040.7048,2167.6567
1/14/2016,621.0259,2132.2812,2145.7258,2234.3452,1163.869,2198.4143
